排名,球员,球队,出场次数,场均时间,投篮命中率,三分命中率,三分球总数,罚球命中率,总得分,场均得分,总篮板,场均篮板
288,姚天一,广州,41,17.7,36.5%,32.7%,37,75%,190,4.6,60,1.5
289,滕贺麒,山西,19,9.9,36.4%,10%,1,86.7%,38,2,17,0.9
290,西尔扎提-赛买提,新疆,5,4.9,36.4%,-,0,-,8,1.6,3,0.6
291,王洪,江苏,46,19.5,36.4%,28.8%,23,66.1%,213,4.6,85,1.8
292,孙思尧,同曦,11,16.8,35.7%,14.3%,2,66.7%,48,4.4,34,3.1
293,田野,天津,41,18.6,35.6%,24.4%,20,76.7%,167,4.1,66,1.6
294,西热力江-木合塔尔,新疆,49,28.6,35.6%,32.9%,113,85%,462,9.4,141,2.9
295,李京龙,广厦,40,26.9,35.6%,36.3%,102,72.6%,399,10,101,2.5
296,孙悦,北控,44,36.6,35.6%,32.7%,101,68.1%,536,12.2,160,3.6
297,郭金林,吉林,15,9.3,35.3%,42.9%,6,50%,33,2.2,20,1.3
298,韩硕,八一,19,21.6,35.2%,29.7%,19,75%,119,6.3,83,4.4
299,衡艺丰,广州,25,15.3,35.1%,34%,18,81.3%,97,3.9,17,0.7
300,胡林森,四川,19,16.9,35%,25.9%,14,60%,95,5,31,1.6
排名,球员,球队,出场次数,场均时间,投篮命中率,三分命中率,三分球总数,罚球命中率,总得分,场均得分,总篮板,场均篮板
301,左朕年,四川,33,23.2,34.8%,27.7%,26,50.6%,226,6.8,98,3
302,郭旭,辽宁,36,8,34.8%,29.4%,15,77.8%,70,1.9,24,0.7
303,潘宁,天津,21,13.7,34.8%,23.1%,6,55.2%,68,3.2,42,2
304,刘力鹏,新疆,25,10.8,34.7%,24.4%,10,33.3%,79,3.2,29,1.2
305,陈柏石,深圳,7,12.9,34.6%,40%,6,70.6%,36,5.1,5,0.7
306,邵英伦,青岛,26,14.5,34.6%,31.3%,5,75%,80,3.1,67,2.6
307,袁堂文,四川,30,22.7,34.5%,25.5%,13,45.8%,120,4,64,2.1
308,史仪,天津,41,23.9,34%,28.3%,49,77.5%,302,7.4,77,1.9
309,张稀然,江苏,14,13.6,34%,30%,6,100%,46,3.3,19,1.4
310,李盛东,同曦,22,18.2,33.9%,16.3%,7,60%,99,4.5,76,3.5
311,蔡亮,上海,44,21.8,33.5%,32.4%,35,76%,225,5.1,95,2.2
312,卡米然-司地克江,福建,37,20.3,33.5%,31.9%,36,50%,170,4.6,59,1.6
313,曹飞,福建,13,8,33.3%,-,0,-,8,0.6,17,1.3
314,朱瀛,上海,6,6.1,33.3%,-,0,-,2,0.3,5,0.8
315,胡钧淋,四川,2,8.9,33.3%,-,0,50%,3,1.5,1,0.5
316,杜金伦,广厦,9,9.9,33.3%,38.5%,5,44.4%,29,3.2,10,1.1
317,郭晓鹏,山西,26,12.6,33.3%,29.7%,11,47.1%,73,2.8,25,1
318,张松涛,四川,22,9.8,33.3%,-,0,52.4%,37,1.7,24,1.1
319,孙岩松,浙江,1,5,33.3%,-,0,-,2,2,1,1
320,黄旭,上海,17,15.7,33.3%,32.4%,24,77.8%,97,5.7,32,1.9
排名,球员,球队,出场次数,场均时间,投篮命中率,三分命中率,三分球总数,罚球命中率,总得分,场均得分,总篮板,场均篮板
321,鞠鹏,浙江,2,7.3,33.3%,-,0,-,2,1,3,1.5
322,李柯七,四川,37,15.7,32.7%,23.9%,16,37.5%,83,2.2,62,1.7
323,施宇晨,上海,26,13.5,32.3%,28.9%,11,81.3%,86,3.3,31,1.2
324,孟博龙,北控,20,8.7,32.2%,34.3%,12,83.3%,55,2.8,21,1.1
325,林孝天,浙江,16,5.6,32.1%,11.1%,1,71.4%,24,1.5,20,1.3
326,孟铎,深圳,16,7.7,32%,33.3%,4,83.3%,25,1.6,8,0.5
327,王化东,辽宁,30,12.8,31.4%,18.9%,7,57.9%,62,2.1,43,1.4
328,赵率舟,江苏,30,16.7,31.3%,28.4%,33,75.8%,150,5,67,2.2
329,张旭,八一,9,7.9,30.8%,-,0,100%,10,1.1,2,0.2
330,何忠勉,深圳,38,15.8,30.7%,16%,8,62.9%,100,2.6,90,2.4
331,张才仁,北京,32,6.5,30.4%,44.4%,4,71.4%,37,1.2,29,0.9
332,莫蒙尘,四川,37,19.3,30.3%,31.5%,39,62.9%,179,4.8,58,1.6
333,柴长易,吉林,24,6.7,30%,27.6%,8,66.7%,36,1.5,20,0.8
334,张祖铭,八一,24,16.2,29%,19.3%,11,64.6%,104,4.3,63,2.6
335,卫猛,山西,8,8,28.6%,-,0,87.5%,15,1.9,12,1.5
336,栾晓君,天津,6,5,28.6%,-,0,75%,7,1.2,2,0.3
337,高尚,北控,24,8.9,27.7%,13.3%,2,72.2%,41,1.7,36,1.5
338,张泽龙,山西,24,11.5,27.5%,17.9%,7,72.7%,75,3.1,39,1.6
339,吴俣成,江苏,7,7.7,25%,10%,1,60%,12,1.7,5,0.7
340,高森堡,天津,9,7.3,25%,14.3%,1,50%,10,1.1,8,0.9
排名,球员,球队,出场次数,场均时间,投篮命中率,三分命中率,三分球总数,罚球命中率,总得分,场均得分,总篮板,场均篮板
341,刘羽楠,新疆,6,3.7,25%,-,0,100%,4,0.7,5,0.8
342,王政博,四川,7,10.7,23.8%,29.4%,5,60%,21,3,7,1
343,张展玮,广州,3,6.4,16.7%,-,0,100%,4,1.3,3,1
344,韩驭丰,深圳,8,6.3,15.4%,16.7%,1,-,5,0.6,7,0.9
345,刁成灏,福建,4,9.7,12.5%,14.3%,2,-,6,1.5,2,0.5
346,孟令源,上海,6,3.2,10%,25%,1,-,3,0.5,0,0
347,耿铭旸,吉林,4,8.9,10%,-,0,50%,6,1.5,6,1.5
348,王旭,北京,7,9.2,6.7%,10%,1,75%,6,0.9,6,0.9
349,张韩,同曦,3,1.2,-,-,0,-,0,0,2,0.7
350,孟祥龙,天津,1,5.3,-,-,0,-,0,0,1,1
351,刘大鹏,山东,3,11.2,-,-,0,100%,2,0.7,4,1.3
352,方渭博,广东,1,2.4,-,-,0,-,0,0,0,0
353,刘旭乘,广东,1,6.2,-,-,0,-,0,0,3,3
354,杨凯,青岛,2,3.8,-,-,0,-,0,0,0,0
355,马壮,辽宁,3,2.6,-,-,0,75%,3,1,1,0.3
356,夏钰博,吉林,3,3.1,-,-,0,100%,2,0.7,2,0.7
357,刘剑阁,江苏,2,5.2,-,-,0,-,0,0,1,0.5
358,王润锋,福建,1,0.5,-,-,0,-,0,0,0,0
359,鄢手骐,辽宁,6,4.8,-,-,0,75%,6,1,2,0.3
